RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;AdjstdQt;AdjstdQtTax;RefPric;TradQty;FinInstrmQty
2022-09-23;ABEVOV22;BRABEV300002;FINANCIAL;15,36;15,52;15,42;15,52;15,52;;;9;3100
2022-09-23;ABEVOX22;BRABEV3Y0009;FINANCIAL;15,56;15,68;15,62;15,68;15,66;;;2;1000
2022-09-23;AFSF23;BRBMEFAFS1C6;FINANCIAL;;;;;18133,3;;;;
2022-09-23;AFSG23;BRBMEFAFS1D4;FINANCIAL;;;;;18182,2;;;;
2022-09-23;AFSV22;BRBMEFAFS198;FINANCIAL;17827;17973;17917,89;17950;17989,2;;;19;68
2022-09-23;AFSX22;BRBMEFAFS1A0;FINANCIAL;;;;;18039,6;;;;
2022-09-23;AFSZ22;BRBMEFAFS1B8;FINANCIAL;;;;;18086,7;;;;
2022-09-23;ARBF23;BRBMEFARB1C1;FINANCIAL;;;;;27,307;;;;
2022-09-23;ARBG23;BRBMEFARB1D9;FINANCIAL;;;;;25,415;;;;
2022-09-23;ARBV22;BRBMEFARB199;FINANCIAL;;;;;35,393;;;;
2022-09-23;ARBX22;BRBMEFARB1A5;FINANCIAL;;;;;32,569;;;;
2022-09-23;ARBZ22;BRBMEFARB1B3;FINANCIAL;;;;;29,986;;;;
2022-09-23;ARSF23;BRBMEFARS110;FINANCIAL;;;;;196790,9;;;;
2022-09-23;ARSG23;BRBMEFARS128;FINANCIAL;;;;;212821,2;;;;
2022-09-23;ARSV22;BRBMEFARS0Y8;FINANCIAL;;;;;148865,6;;;;
2022-09-23;ARSX22;BRBMEFARS0Z5;FINANCIAL;;;;;162872,3;;;;
2022-09-23;ARSZ22;BRBMEFARS102;FINANCIAL;;;;;178039,3;;;;
2022-09-23;AUDF23;BRBMEFAUD470;FINANCIAL;;;;;3508,866;;;;
2022-09-23;AUDG23;BRBMEFAUD488;FINANCIAL;;;;;3535,096;;;;
2022-09-23;AUDV22;BRBMEFAUD447;FINANCIAL;;;;;3434,284;;;;
2022-09-23;AUDX22;BRBMEFAUD454;FINANCIAL;;;;;3459,148;;;;
2022-09-23;AUDZ22;BRBMEFAUD462;FINANCIAL;;;;;3483,451;;;;
2022-09-23;AUSF23;BRBMEFAUS1C7;FINANCIAL;;;;;652,962;;;;
2022-09-23;AUSG23;BRBMEFAUS1D5;FINANCIAL;;;;;653,58;;;;
2022-09-23;AUSV22;BRBMEFAUS197;FINANCIAL;653,3;658,7;655,58;653,4;651,822;;;19;801
2022-09-23;AUSX22;BRBMEFAUS1A1;FINANCIAL;;;;;652,101;;;;
2022-09-23;AUSZ22;BRBMEFAUS1B9;FINANCIAL;651,9;651,9;651,9;651,9;652,486;;;1;42
2022-09-23;B3SAOV22;BRB3SA300038;FINANCIAL;13,24;13,5;13,35;13,5;13,52;;;98;196000
2022-09-23;B3SAOX22;BRB3SA3Y0038;FINANCIAL;13,35;13,46;13,42;13,46;13,64;;;4;8800
2022-09-23;BBASOV22;BRBBAS300000;FINANCIAL;40,53;41,18;40,89;40,99;41,12;;;206;153600
2022-09-23;BBASOX22;BRBBAS3Y0001;FINANCIAL;41,3;41,36;41,33;41,36;41,5;;;4;3400
2022-09-23;BBDCPV22;BRBBDC400003;FINANCIAL;19,99;20,29;20,13;20,28;20,29;;;107;89200
2022-09-23;BBDCPX22;BRBBDC4Y0008;FINANCIAL;20,19;20,4;20,32;20,19;20,48;;;53;43300
2022-09-23;BGIF23;BRBMEFBGI6I2;AGRIBUSINESS;;;;;312,35;;;;
2022-09-23;BGIG23;BRBMEFBGI6C5;AGRIBUSINESS;;;;;329,1;;;;
2022-09-23;BGIH23;BRBMEFBGI6J0;AGRIBUSINESS;;;;;329,1;;;;
2022-09-23;BGIJ23;BRBMEFBGI6K8;AGRIBUSINESS;;;;;329,1;;;;
2022-09-23;BGIK23;BRBMEFBGI6D3;AGRIBUSINESS;310,2;310,2;310,2;310,2;329,1;;;2;5
2022-09-23;BGIN23;BRBMEFBGI6G6;AGRIBUSINESS;;;;;329,1;;;;
2022-09-23;BGIU22;BRBMEFBGI6B7;AGRIBUSINESS;300,8;305,1;302,15;303,15;303,2;;;470;519
2022-09-23;BGIV22;BRBMEFBGI633;AGRIBUSINESS;301,15;305,2;302,65;303,9;303,6;;;1446;2435
2022-09-23;BGIV23;BRBMEFBGI6E1;AGRIBUSINESS;;;;;333;;;;
2022-09-23;BGIX22;BRBMEFBGI674;AGRIBUSINESS;309;314,95;310,85;312,65;312,35;;;475;1218
2022-09-23;BGIZ22;BRBMEFBGI6F8;AGRIBUSINESS;308,9;315,3;310,81;313,55;310,9;;;131;435
